productid,brand,Price,Price_Rank
152483,Acer,97900,1
351671,Acer,92900,2
859420,Acer,91900,3
11757,Acer,91900,3
451215,Acer,90900,5
624901,Acer,90900,5
636638,Acer,90900,5
122962,Acer,89900,8
364306,Acer,89900,8
409736,Acer,89900,8
716973,Acer,89900,8
391004,Acer,87900,12
259138,Acer,86900,13
278672,Acer,86900,13
544056,Acer,86900,13
767442,Acer,86900,13
901326,Acer,85900,17
50292,Acer,85900,17
984853,Acer,85900,17
124141,Acer,85900,17
146526,Acer,85900,17
236565,Acer,85900,17
671046,Acer,85900,17
865454,Acer,84900,24
197099,Acer,84900,24
421064,Acer,84900,24
584290,Acer,84900,24
893275,Acer,83900,28
36709,Acer,83900,28
965052,Acer,83900,28
229215,Acer,83900,28
392007,Acer,83900,28
449587,Acer,83900,28
915195,Acer,82900,34
118241,Acer,82900,34
957005,Acer,82900,34
145771,Acer,82900,34
197779,Acer,82900,34
253355,Acer,82900,34
635675,Acer,82900,34
845254,Acer,82900,34
349114,Acer,81900,42
503706,Acer,81900,42
527379,Acer,81900,42
595225,Acer,81900,42
822263,Acer,81900,42
936988,Acer,80900,47
438538,Acer,80900,47
672011,Acer,80900,47
687265,Acer,80900,47
717643,Acer,80900,47
785650,Acer,80900,47
786182,Acer,80900,47
823857,Acer,80900,47
14526,Acer,79900,55
217589,Acer,79900,55
288093,Acer,79900,55
359322,Acer,79900,55
502463,Acer,79900,55
517260,Acer,79900,55
995943,Acer,78900,61
20874,Acer,78900,61
80188,Acer,78900,61
138716,Acer,78900,61
141902,Acer,78900,61
146164,Acer,78900,61
157316,Acer,78900,61
229744,Acer,78900,61
375051,Acer,78900,61
394803,Acer,78900,61
839895,Acer,78900,61
957921,Acer,77900,72
121850,Acer,77900,72
140883,Acer,77900,72
625356,Acer,77900,72
636770,Acer,77900,72
719071,Acer,77900,72
802251,Acer,77900,72
994798,Acer,76900,79
85392,Acer,76900,79
97734,Acer,76900,79
203976,Acer,76900,79
280729,Acer,76900,79
340832,Acer,76900,79
583878,Acer,76900,79
762988,Acer,76900,79
834483,Acer,76900,79
884028,Acer,75900,88
330174,Acer,75900,88
907156,Acer,75900,88
477442,Acer,75900,88
953543,Acer,75900,88
796236,Acer,75900,88
982200,Acer,75900,88
822842,Acer,75900,88
901604,Acer,74900,96
116923,Acer,74900,96
161581,Acer,74900,96
306219,Acer,74900,96
582533,Acer,74900,96
651074,Acer,74900,96
661196,Acer,74900,96
661794,Acer,74900,96
806660,Acer,74900,96
834669,Acer,74900,96
870194,Acer,73900,106
22721,Acer,73900,106
929078,Acer,73900,106
121361,Acer,73900,106
961596,Acer,73900,106
137943,Acer,73900,106
566893,Acer,73900,106
650314,Acer,73900,106
884831,Acer,72900,114
16689,Acer,72900,114
923234,Acer,72900,114
154224,Acer,72900,114
170309,Acer,72900,114
361956,Acer,72900,114
384478,Acer,72900,114
564502,Acer,72900,114
869167,Acer,71900,122
104840,Acer,71900,122
923216,Acer,71900,122
138395,Acer,71900,122
931787,Acer,71900,122
147649,Acer,71900,122
974765,Acer,71900,122
220386,Acer,71900,122
259316,Acer,71900,122
390146,Acer,71900,122
582632,Acer,71900,122
706736,Acer,71900,122
713303,Acer,71900,122
720854,Acer,71900,122
912567,Acer,70900,136
183970,Acer,70900,136
256589,Acer,70900,136
437778,Acer,70900,136
552783,Acer,70900,136
724534,Acer,70900,136
807162,Acer,70900,136
858923,Acer,69900,143
63033,Acer,69900,143
188562,Acer,69900,143
201426,Acer,69900,143
206809,Acer,69900,143
267528,Acer,69900,143
373883,Acer,69900,143
595655,Acer,69900,143
890819,Acer,68900,151
268963,Acer,68900,151
914064,Acer,68900,151
328194,Acer,68900,151
410138,Acer,68900,151
600263,Acer,68900,151
613970,Acer,68900,151
643184,Acer,68900,151
678980,Acer,68900,151
926673,Acer,67900,160
59297,Acer,67900,160
70366,Acer,67900,160
84121,Acer,67900,160
285190,Acer,67900,160
332683,Acer,67900,160
350106,Acer,67900,160
565603,Acer,67900,160
568584,Acer,67900,160
573987,Acer,67900,160
643510,Acer,67900,160
683810,Acer,67900,160
699927,Acer,67900,160
781764,Acer,67900,160
939863,Acer,66900,174
87348,Acer,66900,174
951618,Acer,66900,174
261777,Acer,66900,174
960700,Acer,66900,174
298945,Acer,66900,174
966680,Acer,66900,174
608683,Acer,66900,174
620418,Acer,66900,174
693884,Acer,66900,174
768726,Acer,66900,174
836325,Acer,66900,174
943225,Acer,65900,186
87873,Acer,65900,186
115956,Acer,65900,186
379962,Acer,65900,186
408429,Acer,65900,186
580118,Acer,65900,186
620683,Acer,65900,186
690286,Acer,65900,186
825186,Acer,65900,186
839995,Acer,65900,186
94286,Acer,64900,196
108687,Acer,64900,196
114310,Acer,64900,196
182670,Acer,64900,196
432449,Acer,64900,196
555281,Acer,64900,196
570593,Acer,64900,196
693762,Acer,64900,196
766471,Acer,64900,196
770163,Acer,64900,196
779915,Acer,64900,196
127337,Acer,63900,207
223401,Acer,63900,207
479751,Acer,63900,207
683837,Acer,63900,207
860173,Acer,62900,211
6649,Acer,62900,211
880200,Acer,62900,211
34444,Acer,62900,211
932938,Acer,62900,211
159084,Acer,62900,211
973413,Acer,62900,211
178852,Acer,62900,211
199131,Acer,62900,211
253564,Acer,62900,211
265135,Acer,62900,211
377135,Acer,62900,211
378125,Acer,62900,211
418993,Acer,62900,211
438829,Acer,62900,211
525635,Acer,62900,211
556364,Acer,62900,211
679335,Acer,62900,211
789036,Acer,62900,211
209992,Acer,61900,230
271934,Acer,61900,230
297389,Acer,61900,230
358441,Acer,61900,230
